age,weight_kg,height_m,bmi,body_fat_percent,grip_force,sit_ups_counts,sit_and_bend_forward_m,broad_jump_m,diastolic,systolic,gender,encoded_class,clusters
0.6520684252135005,-0.2672903575901943,1.6881100722890878,1.4170000306284856,0.11194636939186318,-0.016188726575633104,3.332204510175204,3.2712473502711013,1.723,0.184,2.17,1,2,3
-0.9748984551326763,-1.039006121144668,-0.05313810798325286,0.9266792625970486,-0.1673373653983085,-0.28813131028899264,3.258096538021482,3.0678607198519106,1.65,0.163,2.29,1,0,3
0.883057550200921,-0.43265802120901,0.7374826873836476,0.6464959665790846,1.22908130855255,1.4794954838478442,3.4657359027997265,3.2261067256383513,1.796,0.12,1.81,1,2,4
0.30558473773237016,-0.6669288780023327,0.4174695083065689,0.9266792625970486,-0.2604319436616991,1.1395672542061448,3.4965075614664802,3.192513861295347,1.745,0.152,2.19,1,1,0
0.021032917095693823,-0.8460771802560494,0.6151247071482941,0.36631267056112055,-0.8189994132420425,-0.22014566436065275,3.367295829986474,3.1532674709363664,1.7380000000000002,0.271,2.17,1,1,3
-1.0083751399134617,-0.17082588714588523,-1.2390693010336036,-0.8945121615197174,-1.377566882822386,-0.7640308317873717,3.6109179126442243,3.0563870150023895,1.654,0.21,1.53,0,1,1
-0.3137339307121615,1.234799253614049,-1.3426029766173644,-1.5249245775601363,-0.6328102567152614,0.3237395030660663,3.7612001156935624,3.200307021883086,1.645,0.008,1.46,0,3,2
0.8161041806393502,1.8824892694544102,0.8410163629674086,0.15617519854764758,0.4843246824454254,0.4597107949227461,3.5263605246161616,3.267170525641278,1.749,0.123,2.34,1,1,4
0.004294574705300818,0.6008898764085885,0.32334798504860457,-0.40419139348828037,0.577419260708816,2.3633088809162626,4.007333185232471,3.229268299794273,1.668,0.186,1.48,1,2,4
1.4354228490838818,-1.218154423398385,1.9704746420629808,1.0667709106060306,0.20504094765525374,1.7514380675612038,3.367295829986474,3.2472211854348956,1.85,0.121,2.13,1,1,0
-0.17145802039382277,-0.5429031302882206,0.6151247071482941,1.9773666226644135,-1.4706614610857764,-1.3759016451424306,3.7612001156935624,3.171543377452703,1.692,0.16,2.11,1,0,3
-1.5440020964060301,-0.3224129121297999,-1.4555488045269216,-2.785749409640974,-0.912093991505433,-1.6478442288557902,4.060443010546419,3.0879522346715382,1.53,0.3,0.9,0,3,2
-1.1339127078414075,1.6895603285657919,-1.3049543673141786,-0.8244663375152264,-0.912093991505433,-0.9679877695723914,3.332204510175204,3.141919517448679,1.56,0.131,1.44,0,2,2
0.037771259486086825,-1.6453542210803256,1.4622184164699734,1.0667709106060306,-0.7259048349786519,-1.8518011666408098,3.1354942159291497,3.1352818335422463,1.757,0.192,2.32,1,2,3
1.41868450669349,-0.39131610530430644,1.1233809327413016,0.9967250866015395,0.11194636939186318,-0.696045185859032,3.2188758248682006,3.286995651727968,1.81,0.072,2.13,1,2,3
-0.3639489578833399,1.0556509513603314,-0.2696176114765706,-0.6843746895062444,1.3221758868159406,0.9356103164211252,3.828641396489095,3.256535925427062,1.59,0.19,1.55,0,0,1
-0.0710279660514671,0.9591864809160223,-1.0602384068434714,-0.05396227346582542,0.29813552591864434,-0.696045185859032,3.258096538021482,3.2465595290679676,1.642,0.2289999999999999,1.78,0,2,2
